epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
183,1829.31,0.00016,0.87097,1,0.68962,0.0063964,0.0063964,0.0063964
184,1839.31,8e-05,0.86943,1,0.71481,0.0063766,0.0063766,0.0063766
185,1849.32,0.00031,0.86943,1,0.70504,0.0063568,0.0063568,0.0063568
186,1859.31,0.00267,0.86943,1,0.72987,0.006337,0.006337,0.006337
187,1869.33,0.00122,0.86329,1,0.75611,0.0063172,0.0063172,0.0063172
188,1879.36,0.00011,0.86482,1,0.73354,0.0062974,0.0062974,0.0062974
189,1889.39,0.00028,0.87097,1,0.74808,0.0062776,0.0062776,0.0062776
190,1899.45,6e-05,0.87711,1,0.74752,0.0062578,0.0062578,0.0062578
191,1909.51,0.00019,0.87558,1,0.77633,0.006238,0.006238,0.006238
192,1919.53,0.0001,0.87404,1,0.75124,0.0062182,0.0062182,0.0062182
193,1929.59,6e-05,0.87404,1,0.76662,0.0061984,0.0061984,0.0061984
194,1939.61,3e-05,0.87404,1,0.83782,0.0061786,0.0061786,0.0061786
195,1949.75,7e-05,0.87404,1,0.81067,0.0061588,0.0061588,0.0061588
196,1959.78,0.01195,0.87558,1,0.84056,0.006139,0.006139,0.006139
197,1969.81,0.00034,0.87865,1,0.74908,0.0061192,0.0061192,0.0061192
198,1979.85,0.0001,0.87711,1,0.7168,0.0060994,0.0060994,0.0060994
199,1989.91,0.00015,0.87404,1,0.77362,0.0060796,0.0060796,0.0060796
200,1999.96,0.00016,0.8725,1,0.78669,0.0060598,0.0060598,0.0060598
201,2010.01,7e-05,0.8725,1,0.71949,0.00604,0.00604,0.00604
202,2020.07,5e-05,0.87404,1,0.81054,0.0060202,0.0060202,0.0060202
203,2030.11,0.00014,0.8725,1,0.84089,0.0060004,0.0060004,0.0060004
204,2040.16,4e-05,0.8725,1,0.74947,0.0059806,0.0059806,0.0059806
205,2050.21,0.0099,0.87558,1,0.72236,0.0059608,0.0059608,0.0059608
206,2060.27,6e-05,0.87711,1,0.75925,0.005941,0.005941,0.005941
207,2070.42,0.00079,0.87558,1,0.7112,0.0059212,0.0059212,0.0059212
208,2080.45,0.02053,0.87865,1,0.76868,0.0059014,0.0059014,0.0059014
209,2090.47,0.00983,0.87865,1,0.75,0.0058816,0.0058816,0.0058816
210,2100.52,0.0006,0.87558,1,0.75508,0.0058618,0.0058618,0.0058618
211,2110.56,0.00018,0.88018,1,0.73414,0.005842,0.005842,0.005842
212,2120.59,0.00429,0.87404,1,0.8223,0.0058222,0.0058222,0.0058222
